Month,Project Name,Batch,Email,Name,Role,Items,Skipped,Hour,Rate (INR),Amount,Invoice,Accoutn Status
March,PDF,New Project Knox - 180,rohankhanna@biztechanalytics.com,Bhavya Kumar,QA,6878,,6.1,25,152.50,,
March,Terminus,Batch 7,rohankhanna@biztechanalytics.com,Somya,Reviewer,4631,,,0.6,"""2,778.60""",,
Pending - May,Hindi Project,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Joy,Reviewer,4460,129,,0.6,"""2,676.00""",,Paid on 17.06.2026
Pending - May,Hindi Project,Batch 7,rahulmehta@biztechanalytics.com,Rahul Mehta,Annotator,,,70.7,307,21704.90,,
May,PDF,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Sharul,QA,1480,,,0.23,340.40,,
June -2026,Short Form Video Project,Batch 6,rohankhanna@biztechanalytics.com,Sharul - Intern,Annotator,8226,,,0.56,"""4,606.56""",,
Pending - May,Pending - PDF,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Vivek,QA,3929,,,0.56,2200.24,,Return by Bank due to Wrong Account
March+ April,PDF,Batch 6,operations-a@biztechanalytics.com,Vishwa Sharma,EC - Submitter,8320,,,0.2,1664.00,,
March+ April,Roboflow,TAX Form Canada-rework,operations-a@biztechanalytics.com,Rajesh,QA,2093,,,0.56,1172.08,,
Pending - May,Killi,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Angisa Sharma,Annotator,8201,,,0.2,1640.20,,
May,PDF,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Jyoti,Annotator,2527,190,,0.2,505.40,,
Pending - May,PDF,Astra - Hindi,rohankhanna@biztechanalytics.com,Somya,Annotator,8123,,13.2,25,330.00,,
June -2026,PDF,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Aditya,Annotator,474,,12.1,25,302.50,,Paid on 17.06.2026
March+ April,Roboflow,Batch 7,rohankhanna@biztechanalytics.com,Harshit - Intern,Reviewer,500,,,0.56,280.00,,
May,Terminus,New Project Knox - 180,operations-a@biztechanalytics.com,Brijesh - Intern,Annotator,7030,,,0.5,"""3,515.00""",,
June,PDF,Batch 6,,Priyam Sharma,Annotator,100,,,0.56,56.00,,
March,Killi,Batch 7,rohankhanna@biztechanalytics.com,Kaushik,Reviewer,1690,,5.9,120,708.00,,
March+ April,Killi,TAX Form Canada-rework,operations-a@biztechanalytics.com,Rajesh,EC - Submitter,2387,,,25,1193.50,,
March+ April,Terminus,Batch 6,rohankhanna@biztechanalytics.com,Kiran Bala,Annotator,2688,,,0.23,618.24,,Paid on 17.06.2026
June -2026,Killi,New Project Knox - 180,operations-a@biztechanalytics.com,Swarupa - Intern,QC,5016,,,0.6,3009.60,,Pending for Payment
March+ April,Roboflow,Astra - Hindi,operations-a@biztechanalytics.com,Prameela - Intern,EC - Submitter,1214,,,0.56,679.84,,
June -2026,Hindi Project,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Sneha Sharma,QA,4715,32,16.1,25,402.50,,
March,Pending - PDF,Batch 7,rohankhanna@biztechanalytics.com,Brijesh,Reviewer,5798,,,0.5,2899.00,,
May,PDF,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Sarth,QC,2504,,,0.56,1402.24,,Return by Bank due to Wrong Account
June -2026,Killi,AN_1_SINGLE ANNOTATOR,rohankhanna@biztechanalytics.com,Sindhu,Reviewer,8172,,,0.56,4576.32,,Return by Bank due to Wrong Account
June -2026,PDF,Batch 12,rohankhanna@biztechanalytics.com,Priyam,EC - Submitter,2587,,,0.56,"""1,278.00""",,
June -2026,PDF,Batch 9,operations-a@biztechanalytics.com,Tejbanta,Annotator,1766,,,0.56,2001.00,,
June -2026,PDF,Batch 10,operations-a@biztechanalytics.com,Joy - Intern,QA,2952,,,0.56,"""1,459.00""",,
June -2026,PDF,Batch 12,operations-a@biztechanalytics.com,Durgai Sai,EC - Submitter,4411,,,0.2,1215.00,,
June -2026,PDF,Batch 8,rohankhanna@biztechanalytics.com,Nishtha Sharma,Reviewer,2348,,,0.56,2637.00,,
June -2026,PDF,Batch 11,operations-a@biztechanalytics.com,Vivek - Intern,EC - Submitter,4683,,,0.56,342.00,,
June -2026,PDF,Batch 9,operations-a@biztechanalytics.com,Angisa - Intern,QA,2596,,,0.56,"""2,959.00""",,
June -2026,PDF,Batch 10,rohankhanna@biztechanalytics.com,Harshit Sharma,EC - Submitter,4268,,,0.56,"""1,745.00""",,
June -2026,PDF,Batch 10,operations-a@biztechanalytics.com,Rajesh,Annotator,1726,,,0.2,"""1,676.00""",,
June -2026,PDF,Batch 8,operations-a@biztechanalytics.com,Sharul,Annotator,3253,,,0.2,475.00,,
June -2026,PDF,Batch 8,rohankhanna@biztechanalytics.com,Somya,Reviewer,2535,,,0.2,1063.00,,
June -2026,PDF,Batch 9,rohankhanna@biztechanalytics.com,Vivek,EC - Submitter,1398,,,0.2,193.00,,
June -2026,PDF,Batch 11,rohankhanna@biztechanalytics.com,Dipti Sharma,EC - Submitter,2232,,,0.56,603.00,,
June -2026,PDF,Batch 12,operations-a@biztechanalytics.com,Vishwa Sharma,Reviewer,4289,,,0.56,1472.00,,
June -2026,PDF,Batch 10,operations-a@biztechanalytics.com,Swarupa Sharma,QA,3377,,,0.56,687.00,,
June -2026,PDF,Batch 12,rohankhanna@biztechanalytics.com,Meena,QC,2818,,,0.56,1971.00,,
June -2026,PDF,Batch 10,rohankhanna@biztechanalytics.com,Bhavya Sharma,Annotator,3527,,,0.56,"""2,495.00""",,
June -2026,PDF,Batch 9,operations-a@biztechanalytics.com,Brijesh - Intern,Reviewer,4593,,,0.56,"""1,666.00""",,
June -2026,PDF,Batch 10,rohankhanna@biztechanalytics.com,Ajay,Annotator,3459,,,0.2,2166.00,,
June -2026,PDF,Batch 10,rohankhanna@biztechanalytics.com,Kathryn,Reviewer,1541,,,0.2,797.00,,
June -2026,PDF,Batch 11,operations-a@biztechanalytics.com,Kathryn,EC - Submitter,3710,,,0.56,2919.00,,
June -2026,PDF,Batch 9,operations-a@biztechanalytics.com,Dipti,Annotator,4383,,,0.2,811.00,,
June -2026,PDF,Batch 9,operations-a@biztechanalytics.com,Kathryn - Intern,Reviewer,68,,,0.2,419.00,,
June -2026,PDF,Batch 9,operations-a@biztechanalytics.com,Meena Sharma,QA,3443,,,0.56,2091.00,,
June -2026,PDF,Batch 10,rohankhanna@biztechanalytics.com,Sneha,Annotator,1197,,,0.2,1141.00,,
June -2026,PDF,Batch 9,operations-a@biztechanalytics.com,Uppu Venkatesh Sharma,QC,2049,,,0.56,101.00,,
June -2026,PDF,Batch 11,operations-a@biztechanalytics.com,Nishtha,Reviewer,2025,,,0.2,865.00,,
June -2026,PDF,Batch 12,rohankhanna@biztechanalytics.com,Anishka,QC,3874,,,0.56,2841.00,,
June -2026,PDF,Batch 12,rohankhanna@biztechanalytics.com,Angisa,EC - Submitter,1001,,,0.56,2021.00,,
June -2026,PDF,Batch 9,operations-a@biztechanalytics.com,Rajyalakshmi,Annotator,1934,,,0.56,"""1,379.00""",,
June -2026,PDF,Batch 11,rohankhanna@biztechanalytics.com,Vishwa,QC,74,,,0.2,2430.00,,
June -2026,PDF,Batch 10,rohankhanna@biztechanalytics.com,Sneha,Annotator,2038,,,0.2,"""2,097.00""",,
June -2026,PDF,Batch 8,rohankhanna@biztechanalytics.com,Bhavya,QA,1261,,,0.2,565.00,,
June -2026,PDF,Batch 12,rohankhanna@biztechanalytics.com,Ruchita - Intern,QA,3594,,,0.2,137.00,,
June -2026,PDF,Batch 10,rohankhanna@biztechanalytics.com,Durgai Sai,Annotator,3976,,,0.56,"""2,339.00""",,
June -2026,PDF,Batch 12,rohankhanna@biztechanalytics.com,Atiya,QA,2652,,,0.56,1177.00,,
June -2026,PDF,Batch 9,operations-a@biztechanalytics.com,Kaushik,Reviewer,2423,,,0.56,2268.00,,
June -2026,PDF,Batch 11,operations-a@biztechanalytics.com,Nishtha,QC,154,,,0.56,"""2,590.00""",,
June -2026,PDF,Batch 11,operations-a@biztechanalytics.com,Pradeep,QC,4294,,,0.56,"""2,308.00""",,
June -2026,PDF,Batch 10,rohankhanna@biztechanalytics.com,Dipti Kumar,Annotator,789,,,0.2,229.00,,
June -2026,PDF,Batch 9,operations-a@biztechanalytics.com,Rahela,Annotator,3977,,,0.2,454.00,,
June -2026,PDF,Batch 11,operations-a@biztechanalytics.com,Amir Hamza Kumar,EC - Submitter,4836,,,0.56,251.00,,
June -2026,PDF,Batch 8,rohankhanna@biztechanalytics.com,Ruchita,QC,4026,,,0.2,1967.00,,
June -2026,PDF,Batch 11,operations-a@biztechanalytics.com,Rajyalakshmi,QA,478,,,0.56,"""2,216.00""",,
June -2026,PDF,Batch 9,operations-a@biztechanalytics.com,Palguni,EC - Submitter,796,,,0.2,996.00,,
June -2026,PDF,Batch 12,rohankhanna@biztechanalytics.com,Atiya,QC,4670,,,0.2,2337.00,,
June -2026,PDF,Batch 12,rohankhanna@biztechanalytics.com,Anishka,QA,3758,,,0.56,476.00,,
June -2026,PDF,Batch 11,operations-a@biztechanalytics.com,Rahela,EC - Submitter,2765,,,0.2,2236.00,,
June -2026,PDF,Batch 12,rohankhanna@biztechanalytics.com,Durgai Sai - Intern,QA,3046,,,0.56,2643.00,,
June -2026,PDF,Batch 12,rohankhanna@biztechanalytics.com,Ritika,EC - Submitter,1753,,,0.56,2303.00,,
June -2026,PDF,Batch 11,rohankhanna@biztechanalytics.com,Rajyalakshmi Sharma,Reviewer,2,,,0.2,1215.00,,
June -2026,PDF,Batch 10,operations-a@biztechanalytics.com,Palguni,QC,1760,,,0.56,138.00,,
June -2026,PDF,Batch 12,rohankhanna@biztechanalytics.com,Brijesh,EC - Submitter,4683,,,0.2,436.00,,
June -2026,PDF,Batch 9,operations-a@biztechanalytics.com,Suhrid - Intern,QC,2171,,,0.56,"""2,434.00""",,
June -2026,PDF,Batch 12,rohankhanna@biztechanalytics.com,Palguni,Reviewer,4662,,,0.2,366.00,,
June -2026,PDF,Batch 11,rohankhanna@biztechanalytics.com,Sharul,EC - Submitter,782,,,0.56,203.00,,
June -2026,PDF,Batch 10,rohankhanna@biztechanalytics.com,Swarupa,QA,3558,,,0.56,543.00,,
June -2026,PDF,Batch 11,operations-a@biztechanalytics.com,Anishka,Annotator,2497,,,0.2,1357.00,,
June -2026,PDF,Batch 9,operations-a@biztechanalytics.com,Dipti,QC,414,,,0.56,1875.00,,
June -2026,PDF,Batch 10,operations-a@biztechanalytics.com,Ruchita Kumar,Reviewer,1213,,,0.2,"""1,426.00""",,
June -2026,PDF,Batch 10,operations-a@biztechanalytics.com,Brijesh Kumar,Annotator,3265,,,0.56,"""2,908.00""",,
June -2026,PDF,Batch 9,operations-a@biztechanalytics.com,Sharul,Reviewer,3239,,,0.2,2348.00,,
June -2026,PDF,Batch 10,operations-a@biztechanalytics.com,Sarth,Reviewer,2650,,,0.2,510.00,,
June -2026,PDF,Batch 10,rohankhanna@biztechanalytics.com,Aditya - Intern,QC,2628,,,0.56,2482.00,,
June -2026,PDF,Batch 12,rohankhanna@biztechanalytics.com,Angisa - Intern,Reviewer,1195,,,0.56,233.00,,
June -2026,PDF,Batch 9,operations-a@biztechanalytics.com,Atiya - Intern,Annotator,921,,,0.2,1045.00,,
June -2026,PDF,Batch 10,operations-a@biztechanalytics.com,Kathryn,Annotator,2500,,,0.56,"""1,979.00""",,
June -2026,PDF,Batch 9,operations-a@biztechanalytics.com,Anishka,QC,4477,,,0.56,2297.00,,
June -2026,PDF,Batch 11,operations-a@biztechanalytics.com,Sneha,EC - Submitter,4316,,,0.2,"""1,096.00""",,
June -2026,PDF,Batch 8,rohankhanna@biztechanalytics.com,Atiya - Intern,Reviewer,69,,,0.2,1641.00,,
June -2026,PDF,Batch 10,rohankhanna@biztechanalytics.com,Narendra,Reviewer,1894,,,0.56,2132.00,,
June -2026,PDF,Batch 12,operations-a@biztechanalytics.com,Dipti Sharma,EC - Submitter,722,,,0.2,864.00,,
June -2026,PDF,Batch 8,rohankhanna@biztechanalytics.com,Brijesh,QC,4337,,,0.56,1416.00,,
June -2026,PDF,Batch 10,operations-a@biztechanalytics.com,Pavani - Intern,QA,2477,,,0.2,"""2,103.00""",,
June -2026,PDF,Batch 11,operations-a@biztechanalytics.com,Vivek - Intern,Annotator,4547,,,0.56,973.00,,
June -2026,PDF,Batch 9,operations-a@biztechanalytics.com,Himandri Kumar,Annotator,3132,,,0.2,"""1,759.00""",,
June -2026,PDF,Batch 12,operations-a@biztechanalytics.com,Aditya - Intern,QA,3680,,,0.2,896.00,,
June -2026,PDF,Batch 9,operations-a@biztechanalytics.com,Vishwa,QC,2532,,,0.2,1811.00,,
June -2026,PDF,Batch 10,operations-a@biztechanalytics.com,Kiran Bala,Annotator,4566,,,0.2,804.00,,
June -2026,PDF,Batch 10,rohankhanna@biztechanalytics.com,Savithri,Reviewer,3369,,,0.56,1864.00,,
June -2026,PDF,Batch 8,rohankhanna@biztechanalytics.com,Savithri,QC,1514,,,0.2,2556.00,,
June -2026,PDF,Batch 9,operations-a@biztechanalytics.com,Ritika,Annotator,2944,,,0.2,2868.00,,
June -2026,PDF,Batch 10,operations-a@biztechanalytics.com,Sabah Sharma,QC,3175,,,0.56,"""1,990.00""",,
June -2026,PDF,Batch 11,operations-a@biztechanalytics.com,Ruchita,Annotator,2211,,,0.56,961.00,,
June -2026,PDF,Batch 8,operations-a@biztechanalytics.com,Bhavya,QC,3599,,,0.56,2867.00,,
June -2026,PDF,Batch 11,rohankhanna@biztechanalytics.com,Sarth Kumar,Annotator,4981,,,0.56,2999.00,,
June -2026,PDF,Batch 11,operations-a@biztechanalytics.com,Prameela,Reviewer,348,,,0.2,2174.00,,
June -2026,PDF,Batch 12,operations-a@biztechanalytics.com,Brijesh Kumar,Annotator,1556,,,0.56,1850.00,,
